ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
1,1,2,0.976020648,0.034615385,0.007692308,260,0,2,10,1,172,172,172,1
1,1,1,0,0.003703704,0,270,0,3,7,1,173,173,173,1
1,1,1,0,0.004524887,0,221,0,2,1,1,174,174,174,1
1,1,1,0,0.00210084,0,476,0,2,7,1,175,175,175,1
1,1,1,0,0.23880597,0,67,0,2,75,1,176,176,176,1
1,1,4,0.780639062,0.006849315,0.004109589,182.5,0,3,10,1,180,180,180,1
1,1,1,0,0.003333333,0.003333333,300,0,2,8,1,181,181,181,0
1,1,1,0,0.003333333,0.003333333,300,0,2,0,1,182,182,182,0
1,1,1,0,0.005434783,0.005434783,184,1,2,21,1,183,169,183,0
1,1,1,0,0.004210526,0.006315789,475,0,2,22,1,184,170,184,0
1,1,1,0,0.004201681,0.00210084,476,1,2,0,1,185,171,185,0
1,1,2,0.954434003,0.028688525,0.004098361,244,1,2,27,1,187,165.5,187,1
1,1,1,0,0.322580645,0.032258065,62,0,2,103,1,188,166.5,188,1
1,1,1,0,0.260273973,0.01369863,73,0,2,2,1,189,167.5,189,0
1,1,1,0,1.275,1.55,40,1,3,116,1,190,168.5,190,1
1,1,1,0,0.081081081,0.189189189,37,1,3,0,1,191,169.5,191,1
1,1,1,0,0.08,0.04,75,0,2,0,1,192,170.5,192,1
1,1,2,0.961236605,0.098901099,0.008241758,182,1,2,45,1,194,172.5,194,1
1,1,11,0.9071452,0.077908765,0.030240902,177.3636364,1,2,565,0.636363636,205,183.5,205,1
1,1,2,1,0.06741573,0.02247191,178,1,3,41,1,207,185.5,207,0
1,1,1,0,0.025316456,0.025316456,79,0,1,42,1,208,186.5,208,0
1,1,3,0,0.002421308,0.002421308,137.6666667,0,3,0,0.666666667,211,189.5,211,1
1,1,1,0,0.05,0.05,20,0,3,116,1,1,1,1,0
1,1,25,0.748275087,0.109917102,0.076757753,130.28,0,4,2487,0.64,26,26,26,0
1,1,1,0,0.364942529,0.002873563,348,1,4,8,1,212,174.5,212,1
1,1,1,0,0.002873563,0.002873563,348,0,4,3,1,213,175,213,0
1,1,1,0,0.003389831,0.003389831,295,1,3,11,1,214,176,214,0
1,1,3,0.649923701,0.065897858,0.00247117,404.6666667,0,4,25,0.666666667,217,178.5,217,1
1,1,1,0,0.024128686,0.00536193,373,0,4,1,1,218,179.5,218,1
1,1,1,0,0.002688172,0.005376344,372,1,4,0,1,219,180.5,219,0
1,1,1,0,0.020833333,0.004166667,240,1,3,13,1,220,181.5,220,0
1,1,1,0,0.218390805,0.007662835,261,0,3,1,1,221,182.5,221,1
1,1,1,0,0.037313433,0.003731343,268,1,3,0,1,222,183.5,222,1
1,1,3,0.123604988,0.029577465,0.016901408,236.6666667,0,4,6,1,225,186.5,225,1
1,1,2,0.863120569,0.133116883,0.003246753,308,1,3,27,1,227,185.5,227,1
1,1,2,0,0,0,38.5,1,1,0,0.5,229,187.5,229,1
1,1,1,0,0.01061008,0,377,1,4,14,1,230,188.5,230,1
1,1,1,0,0.006153846,0.030769231,325,1,3,2,1,231,189.5,231,1
1,1,1,0,0.03125,0,64,0,1,9,1,232,186.5,232,0
1,1,2,0.996791632,0.032828283,0.005050505,198,1,3,106,1,234,188.5,234,1
1,1,3,0.767531278,0.036199095,0.018099548,294.6666667,1,4,82,1,237,191.5,237,0
1,1,1,0,0.003496503,0.003496503,286,1,3,19,1,238,192.5,238,1
1,1,1,0,0.027491409,0.003436426,291,1,3,0,1,239,193.5,239,1
1,1,1,0,0.001901141,0.001901141,526,0,3,36,1,240,194.5,240,0
1,1,1,0,0,0,52,1,1,0,1,243,197.5,243,0
1,1,1,0,0,0,47,1,1,0,1,243,197.5,243,0
1,1,1,0,0.044117647,0,68,1,1,48,1,243,197.5,243,0
1,1,1,0,0.003076923,0.003076923,325,0,4,0,1,2,2,2,0
1,1,1,0,0.003076923,0.003076923,325,0,4,9,1,1,1,1,0
1,1,1,0,0.041450777,0.03626943,193,1,4,54,1,1,1,1,0
1,1,2,0.627430335,0.108585859,0.068181818,198,1,5,149,1,3,3,3,1
1,1,2,0.445693178,0.143236074,0.114058355,188.5,0,4,8,1,5,5,5,1
1,1,2,0.684038436,0.021786492,0.002178649,459,1,5,15,1,4,4,4,0
1,1,1,0,0.002631579,0.002631579,380,0,5,0,1,5,5,5,0
1,1,1,0,0.018416206,0.009208103,543,0,4,0,1,6,6,6,1
1,1,1,0,0.18877551,0.18877551,196,1,5,2,1,7,7,7,1
1,1,1,0,0.071428571,0.071428571,196,1,5,0,1,8,8,8,0
1,1,1,0,0.041666667,0,72,1,4,14,1,9,9,9,1
1,1,2,0.954434003,0.010958904,0,365,0,5,6,1,11,11,11,1
1,1,2,0.266764988,0.09703504,0.080862534,185.5,0,4,52,1,13,13,13,1
1,1,2,0.89049164,0.084375,0.0375,160,1,4,116,1,15,15,15,1
1,1,1,0,0.001834862,0.001834862,545,0,4,3,1,16,16,16,0
1,1,1,0,0.045454545,0.045454545,22,1,4,0,1,17,17,17,0
1,1,4,0.77268308,0.024161074,0.025503356,186.25,0,5,148,1,21,21,21,1
1,1,3,0.782304601,0.049586777,0.044077135,121,0,4,0,0.333333333,24,24,24,1
1,1,1,0,0.028169014,0.014084507,71,0,4,62,1,6,6,6,1
1,1,1,0,0,0.028818444,347,0,5,9,1,7,7,7,0
1,1,4,0.865674672,0.048165138,0.052752294,109,1,5,13,0.5,11,11,11,1
1,1,1,0,0.006024096,0.003012048,332,0,4,5,1,25,25,25,0
1,1,2,0.141440543,0.156521739,0.060869565,230,0,5,175,1,27,27,27,1
1,1,1,0,0.012658228,0.012658228,79,0,4,0,1,28,28,28,0
1,1,1,0,0.018041237,0,388,0,5,0,1,29,29,29,0
1,1,1,0,0.142857143,0.214285714,14,0,2,46,1,30,30,30,1
1,1,1,0,0.071428571,0.071428571,14,1,2,0,1,31,31,31,0
1,1,1,0,0.01497006,0.005988024,334,0,4,12,1,32,32,32,0
1,1,1,0,0,0.015625,320,1,4,24,1,33,33,33,0
1,1,2,0.422000517,0.046758767,0.027630181,470.5,1,5,26,1,35,35,35,1
1,1,4,0.900168996,0.100534759,0.034224599,233.75,1,5,281,1,39,39,39,1
1,1,1,0,0.003311258,0.003311258,302,1,4,0,1,40,40,40,0
1,1,3,0.709253633,0.253424658,0.03652968,292,1,5,24,1,43,43,43,1
1,1,2,0,0,0,69.5,1,1,0,0.5,45,45,45,1
1,1,1,0,0.04950495,0.00990099,101,0,1,0,1,46,46,46,0
1,1,2,0.985228136,0.08,0.013333333,75,1,1,0,1,48,48,48,1
1,1,1,0,0.011494253,0.017241379,348,1,5,0,1,49,49,49,1
1,1,1,0,0.071428571,0.008928571,112,0,1,0,1,50,50,50,0
1,1,1,0,0.026785714,0.008928571,112,0,1,0,1,51,51,51,0
1,1,1,0,0.193548387,0,93,0,4,82,1,52,52,52,0
1,1,1,0,0.102040816,0,49,0,2,44,1,53,53,53,0
1,1,1,0,0.018716578,0,374,0,4,17,1,54,54,54,0
1,1,2,1,0.005347594,0.005347594,187,0,4,145,1,56,56,56,0
1,1,2,0.985228136,0.037996546,0.010362694,289.5,1,5,21,1,58,58,58,1
1,1,1,0,0.003649635,0.001824818,548,0,4,21,1,59,59,59,0
1,1,4,0.821858147,0.012345679,0.014660494,324,1,6,78,1,15,15,15,1
1,1,3,0.782990571,0.014527845,0.043583535,137.6666667,0,5,245,1,18,18,18,1
1,1,1,0,0.02189781,0,548,0,5,0,1,60,60,60,0
1,1,1,0,0.031746032,0.015873016,63,0,3,41,1,61,61,61,0
1,1,2,0.510787823,0.08490566,0.018867925,212,1,6,68,1,2,2,2,1
1,1,1,0,0.097605893,0.119705341,543,1,5,15,1,19,19,19,1
1,1,1,0,0.12987013,0.051948052,77,1,5,56,1,62,62,62,1
1,1,1,0,0.014354067,0.014354067,209,0,6,10,1,20,20,20,1
1,1,4,0.968130014,0.003097893,0.003717472,403.5,0,6,96,0.75,24,24,24,1
1,1,1,0,0.004672897,0.009345794,214,0,6,10,1,25,25,25,1
1,1,1,0,0,0,72,0,1,0,1,26,26,26,0
1,1,1,0,0.027777778,0.027777778,72,0,2,1,1,63,63,63,0
1,1,1,0,0.004784689,0.004784689,209,1,6,18,1,64,64,64,0
1,1,1,0,0.001845018,0.001845018,542,1,5,25,1,65,65,65,0
1,1,1,0,0.001845018,0.001845018,542,1,5,1,1,66,66,66,1
1,1,1,0,0.045454545,0,66,0,4,43,1,3,3,3,0
1,1,2,0.297472249,0.200310559,0.00621118,322,1,7,95,1,5,5,5,1
1,1,1,0,0.018475751,0.009237875,433,1,6,0,1,6,6,6,1
1,1,1,0,0.029279279,0.002252252,444,1,6,0,1,7,7,7,0
1,1,1,0,0.001845018,0.001845018,542,1,5,3,1,67,67,67,0
1,1,1,0,0.215799615,0.005780347,519,0,6,1,1,8,8,8,1
1,1,1,0,0.009578544,0,522,0,6,0,1,9,9,9,0
1,1,1,0,0.005736138,0.001912046,523,0,6,0,1,10,10,10,0
1,1,1,0,0.074074074,0.037037037,27,1,4,332,1,68,68,68,0
1,1,4,0.840241012,0.037214886,0.010804322,208.25,1,5,296,0.75,72,72,72,1
1,1,2,0.881290899,0.009102731,0.00390117,384.5,1,6,53,1,74,74,74,1
1,1,1,0,0.001912046,0.001912046,523,0,6,20,1,11,11,11,1
1,1,1,0,0.001912046,0.001912046,523,1,6,1,1,12,12,12,1
1,1,1,0,0.002659574,0.002659574,376,0,4,3,1,75,75,75,1
1,1,1,0,0.010869565,0,92,0,5,9,1,76,76,76,0
1,1,1,0,0.111111111,0.088888889,45,1,1,92,1,77,77,77,1
1,1,1,0,0.001912046,0.001912046,523,0,6,2,1,13,13,13,0
1,1,1,0,0.003003003,0,333,0,5,53,1,78,78,78,0
1,1,1,0,0.00310559,0.00310559,322,0,5,0,1,80,80,80,0
1,1,1,0,0.00310559,0.00310559,322,0,5,12,1,79,79,79,0
1,1,1,0,0.008928571,0.008928571,112,0,1,104,1,81,81,81,0
1,1,1,0,0.027989822,0.022900763,393,1,6,17,1,82,82,82,0
1,1,1,0,0.314814815,0.055555556,54,1,2,17,1,14,14,14,1
1,1,2,0.721928095,0.012396694,0.008264463,121,0,6,74,1,84,84,84,0
1,1,3,0.982141033,0.005529226,0.005529226,422,1,5,128,1,87,87,87,1
1,1,1,0,0.001845018,0.001845018,542,0,5,2,1,88,88,88,0
1,1,1,0,0,0,529,1,1,0,1,89,89,1,1
1,1,1,0,0.003780718,0.003780718,529,1,1,1,1,90,90,2,1
1,1,5,0.921329965,0.013793103,0.005747126,174,1,5,489,0.8,95,95,93,1
1,1,4,0.938693532,0.003814714,0.003814714,458.75,1,7,44,1,99,99,97,0
1,1,1,0,0.022641509,0.016981132,530,1,1,1,1,100,100,3,1
1,1,2,0.918295834,0.020618557,0.010309278,48.5,1,5,161,1,102,102,99,0
1,1,3,0.895640306,0.014728682,0.005426357,430,1,7,20,0.666666667,105,105,102,1
1,1,2,1,0.011820331,0.007092199,211.5,1,4,44,1,107,107,104,1
1,1,1,0,0.002666667,0.002666667,375,1,4,2,1,108,108,105,0
1,1,1,0,0.007532957,0.003766478,531,1,7,2,1,109,109,106,0
1,1,1,0,0.013157895,0.013157895,76,0,2,209,1,110,110,107,0
1,1,2,1,0.013888889,0.013888889,72,1,2,161,1,112,112,109,0
1,1,10,0.810774399,0.037962963,0.007407407,216,1,6,167,0.7,122,122,119,1
1,1,1,0,0,0,77,1,1,0,1,123,123,120,1
1,1,1,0,0.001838235,0.001838235,544,0,5,0,1,124,124,121,0
1,1,1,0,0.003676471,0.003676471,544,1,5,1,1,125,125,122,0
1,1,2,0.976020648,0.041450777,0.004145078,482.5,0,6,15,1,127,127,124,0
1,1,1,0,0.001782531,0.001782531,561,1,5,0,1,128,128,125,1
1,1,4,0.670804341,0.075799087,0.012785388,273.75,1,5,143,0.75,132,132,129,1
1,1,1,0,0.003565062,0,561,0,5,0,1,133,133,130,0
1,1,1,0,0.005338078,0.003558719,562,0,5,0,1,134,134,131,1
1,1,1,0,0,0.001782531,561,1,5,0,1,135,135,132,0
1,1,3,0.864973521,0.009345794,0.009345794,178.3333333,1,5,3,0.333333333,138,138,135,0
1,1,1,0,0.023076923,0,130,1,4,0,1,139,139,136,1
1,1,1,0,0,0,398,1,1,0,1,140,140,137,1
1,1,1,0,0.356968215,0.26405868,409,1,1,0,1,141,141,138,1
1,1,6,0.034465627,0.338352941,0.037176471,354.1666667,1,7,14,0.5,147,147,144,1
1,1,1,0,0.014925373,0,67,1,1,1,1,148,148,145,0
1,1,1,0,0.001782531,0.001782531,561,0,5,3,1,149,149,146,0
1,1,1,0,0.01946472,0.01459854,411,1,1,2,1,150,150,147,0
1,1,1,0,0.004854369,0.002427184,412,1,1,0,1,151,151,148,1
1,1,1,0,0.004854369,0.004854369,412,1,1,0,1,152,152,149,0
1,1,2,0.998000884,0.08496732,0.039215686,76.5,1,5,128,1,154,154,151,0
1,1,5,0.943203745,0.036455412,0,356.6,1,6,48,0.8,159,159,156,1
1,1,1,0,0.002645503,0.002645503,378,1,4,0,1,160,160,157,0
1,1,1,0,0.004938272,0.004938272,405,0,2,7,1,15,15,15,0
1,1,3,0.935862393,0.037351443,0.016977929,392.6666667,0,3,8,1,163,163,160,1
1,1,1,0,0.005328597,0.001776199,563,1,5,5,1,164,164,161,0
1,1,1,0,0.037974684,0,79,1,1,13,1,165,165,162,0
1,1,1,0,0.013333333,0,75,1,5,2,1,166,166,163,0
1,1,1,0,0.007692308,0.007692308,130,1,4,9,1,167,167,164,1
2,2,43,0.999465695,0.088657282,0.076881429,171.8139535,0,8,3412,0.720930233,43,43,43,0
1,1,1,0,0.009433962,0.003773585,530,1,2,17,1,168,153.5,4,0
1,1,1,0,0.084337349,0,83,1,6,18,1,169,154.5,165,0
1,1,1,0,0.018518519,0.018518519,54,0,3,18,1,170,155.5,166,0
1,1,1,0,0.002793296,0.002793296,358,0,6,18,1,171,156.5,167,0
1,1,1,0,0.002793296,0.002793296,358,0,6,0,1,172,157.5,168,0
1,1,5,0.755221006,0.096357227,0.007638073,340.4,1,7,137,0.4,48,48,47,1
1,1,1,0,0.004854369,0.002427184,412,0,5,0,1,49,49,48,0
1,1,2,0.811278124,0.005617978,0.005617978,356,1,6,46,1,174,148,170,1
1,1,1,0,0.002824859,0.002824859,354,1,6,0,1,175,149,171,1
1,1,2,0.99107606,0.009779951,0.001222494,409,0,7,39,1,177,151,173,1
1,1,1,0,0.012820513,0,390,0,6,12,1,178,148,174,0
1,1,3,0.886530029,0.081669691,0.009981851,367.3333333,1,7,26,1,181,151,177,1
1,1,3,0.997508525,0.042893188,0.030277544,396.3333333,1,4,135,0.333333333,184,154,180,1
1,1,1,0,0.002386635,0.002386635,419,0,5,12,1,185,154.5,181,0
1,1,1,0,0.004651163,0,215,0,7,64,1,186,155,182,1
1,1,1,0,0.005309735,0,565,1,6,33,1,187,156,183,0
1,1,1,0,0.080091533,0.025171625,437,0,3,19,1,188,157,184,1
1,1,1,0,0.00228833,0.00228833,437,1,3,2,1,189,158,185,0
1,1,8,0.755089642,0.067294282,0.005578801,358.5,1,7,188,0.875,197,166,193,1
1,1,1,0,0.003384095,0.003384095,591,0,6,0,1,198,167,194,0
1,1,1,0,0,0.005479452,365,0,6,0,1,199,168,195,0
1,1,1,0,0.003384095,0.003384095,591,0,6,4,1,200,169,196,0
1,1,1,0,0.00228833,0.00228833,437,1,3,4,1,201,170,197,0
1,1,2,0.998635964,0.072289157,0.020080321,124.5,1,1,8,0.5,203,172,199,1
1,1,1,0,0.041942605,0.01986755,453,1,6,5,1,204,173,200,0
1,1,1,0,0.018823529,0.011764706,425,1,7,5,1,205,174,201,0
1,1,1,0,0.006734007,0.001683502,594,1,6,2,1,206,175,202,1
1,1,4,0.858842848,0.022584693,0.005018821,199.25,1,7,186,0.75,210,179,206,1
1,1,1,0,0.006622517,0.008830022,453,0,6,2,1,211,180,207,1
1,1,1,0,0.011013216,0.00660793,454,0,6,0,1,212,181,208,0
1,1,2,0.453716339,0.062874251,0.031437126,334,0,6,74,1,214,183,210,1
1,1,1,0,0.008791209,0.002197802,455,1,6,0,1,215,184,211,0
1,1,1,0,0.010899183,0.005449591,367,0,6,7,1,216,185,212,0
1,1,4,0,0,0,0,0,5,296,0.25,220,189,216,0
1,1,1,0,0,0,0,0,5,74,1,221,190,217,0
1,1,31,0.626947944,0.06020668,0.010184214,215.3870968,1,8,1164,0.419354839,252,221,248,1
1,1,1,0,0.002695418,0,371,0,6,0,1,253,222,249,0
1,1,1,0,0.003717472,0.001858736,538,0,5,0,1,254,223,250,1
1,1,1,0,0.023012552,0,478,1,6,0,1,255,224,251,1
1,1,1,0,0.02283105,0,219,0,7,1,1,256,225,252,1
1,1,1,0,0.002415459,0.002415459,414,1,7,2,1,257,226,253,0
1,1,3,0.90667914,0.155202822,0.02292769,378,1,6,17,1,260,229,256,1
1,1,1,0,0.001597444,0.023961661,626,1,6,3,1,261,230,257,1
1,1,1,0,0.002695418,0.002695418,371,1,6,3,1,262,231,258,0
1,1,1,0,0.004405286,0,454,0,2,0,1,263,232,259,1
1,1,1,0,0.003717472,0.003717472,538,0,5,3,1,264,233,260,0
1,1,1,0,0.026506024,0.024096386,415,0,7,1,1,265,234,261,0
1,1,1,0,0.015873016,0.015873016,63,0,5,3,1,266,235,262,0
1,1,1,0,0.093023256,0,215,0,5,1,1,267,236,263,1
1,1,3,0.890517856,0.011363636,0.022727273,322.6666667,0,6,9,0.666666667,270,239,266,1
1,1,1,0,0.222222222,0,18,0,6,4,1,271,240,267,1
1,1,4,0.234462727,0.062130178,0.019526627,422.5,0,7,5,0.75,275,244,271,0
1,1,3,0.770219962,0.064944134,0.016759777,477.3333333,0,5,0,0.333333333,278,247,274,1
1,1,2,0.918295834,0.006993007,0.006993007,214.5,0,5,6,1,280,249,276,0
1,1,2,0.995727452,0.008108108,0.003603604,555,0,6,4,1,282,251,278,0
1,1,1,0,0.011235955,0.007490637,534,1,8,5,1,283,252,279,0
1,1,5,0.573020611,0.093023256,0.009767442,430,1,6,16,0.6,288,257,284,1
1,1,1,0,0.001782531,0.001782531,561,0,5,2,1,289,258,285,1
1,1,1,0,0.005194805,0,385,1,6,0,1,290,259,286,0
1,1,8,0.755957559,0.06466031,0.007747318,419.5,1,7,13,0.75,298,267,294,1
1,1,1,0,0.026785714,0.008928571,112,0,6,0,1,299,268,295,0
1,1,1,0,0.065916399,0.02733119,622,1,2,1,1,300,268,296,1
1,1,2,0.998635964,0.079847909,0.007604563,131.5,1,1,11,1,302,270,298,0
1,1,2,0.291818257,0.031835206,0.004681648,534,1,7,6,1,304,272,300,0
1,1,3,0.68589275,0.023622047,0.003028468,550.3333333,1,7,1,0.666666667,307,275,303,1
1,1,1,0,0.008982036,0.002994012,668,0,6,0,1,308,276,304,0
