commit,benefit,cost
399,111,974
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,112,959
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,113,898
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,114,561
425,0,0
426,0,0
427,0,0
428,0,0
429,115,544
430,0,0
431,0,0
432,0,0
433,0,0
434,116,548
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,117,531.25
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,118,885
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,119,242.8947368
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,120,805
584,121,816
585,122,799
586,123,451
587,124,819
588,125,758.1666667
589,126,414
590,127,629.3333333
591,128,759
592,129,485.3333333
593,130,420.5
594,131,724
595,132,721
596,133,721
597,134,851.5
598,135,436.75
599,136,630
600,137,283.8
601,138,342.2
602,139,626
603,0,0
604,140,521.4
605,141,548
606,142,537.5714286
607,143,414
608,144,585
609,145,686.25
610,146,430
611,147,570
612,148,383
613,149,597
614,150,550.3333333
615,151,419.5
616,152,561
617,153,477.3333333
618,154,322.6666667
619,155,538
620,156,215.3870968
621,157,199.25
622,158,367.3333333
623,159,409
624,160,340.4
625,161,356.6
626,162,211.5
627,163,174
628,164,376
629,165,384.5
630,166,289.5
631,167,233.75
632,168,325
633,169,177.3636364
634,170,126.8823529
635,171,288
636,172,113.5
637,173,273.75
638,174,216
639,175,422
640,176,292
641,177,404.6666667
642,178,244
643,179,67
644,180,339.5
645,181,236
646,182,389
647,183,409
648,184,212
649,185,355.6111111
650,186,86
651,187,102.6666667
652,188,132
653,189,134
654,190,552.6666667
655,191,351.8571429
656,192,272.147541
657,193,817
658,194,568.2
659,195,821
660,196,773
661,197,493.6666667
662,198,533.4
663,199,672.75
664,200,646.5
665,201,645.5
666,202,646.5
667,203,392
668,204,737
669,205,546
670,206,397.375
671,207,481.9130435
672,208,685
673,209,669
674,210,572.4444444
675,211,546.5
676,212,662
677,213,357
678,214,249.06
679,215,653
680,216,638
681,217,638
682,218,1002.8
683,219,450
684,220,453
685,221,450
686,0,0
687,222,601.9
688,223,433.5
689,224,1092
690,225,430
691,226,1090.5
692,227,181.3333333
693,228,174.25
694,229,441
695,230,290
696,231,109
697,232,121
698,233,186.25
699,234,71
700,235,66
701,236,576.1764706
702,237,197
703,238,182
704,239,194.5357143
705,240,397.5
706,241,432
707,242,592
708,243,587
709,244,593
710,0,0
711,245,589.5
712,246,510.4
713,247,513.3333333
714,248,386
715,249,504
716,250,495.5
717,251,395
718,252,395
719,253,653.3333333
720,254,488.1666667
721,255,481
722,256,291.25
723,257,461
724,258,558
725,259,381.75
726,260,667.5
727,261,354
728,262,356
729,263,291
730,264,286
731,265,308
732,266,268
733,267,261
734,268,221
735,0,0
736,269,672
737,270,625.6666667
738,271,406
739,272,836.5
740,273,363
741,274,573
742,275,804
743,276,577.625
744,277,539
745,278,446.5925926
746,279,446.5925926
747,280,771
748,281,893
749,282,532
750,283,523
751,284,391.5
752,285,730
753,286,514
754,287,725
755,288,301
756,289,355
757,290,499
758,291,492
759,292,482
760,293,673
761,294,585
762,295,145.6
763,296,432
764,297,430
765,298,311.75
766,299,426
767,300,426
768,301,284.12
769,302,418
770,303,432
771,304,417
772,305,416
773,306,825.5
774,307,416
775,308,527.3333333
776,309,406
777,310,511
778,311,361
779,312,619
780,313,388
781,314,389
782,315,386
783,316,456
784,317,774.75
785,318,898
786,319,883
787,320,878
788,321,878
789,322,871
790,323,860
791,324,846
792,325,1099
793,326,570.05
794,327,428
795,328,892.5
796,329,1012
797,330,1016
798,331,995
799,332,540
800,333,974
801,334,973
802,335,958
803,336,505.5
804,337,806.5
805,338,617
806,339,608
807,340,497.8
808,341,554
809,342,430
810,343,626
811,344,334
812,345,594
813,346,358.5
814,347,562
815,348,561
816,349,430
817,350,542
818,351,543
819,352,324
820,353,365
821,354,543
822,355,476
823,356,295.5
824,357,408
825,358,414
826,359,804
827,360,519.75
828,361,292
829,362,208.25
830,363,137.6666667
831,364,709.3333333
832,365,152
833,366,152
834,0,0
835,367,249
836,368,351
837,369,599.7
838,370,825.6666667
839,371,866.3333333
840,372,956.25
841,373,2471
842,374,2625
843,375,2629
844,376,2628
845,377,1428.5
846,378,1412.5
847,379,1398
848,380,958.1666667
849,381,495.7777778
850,382,2704
851,383,2706
852,384,741.5
853,385,2646
854,386,613.2352941
855,387,890.75
856,388,1161.333333
857,389,1136.25
858,390,556.25
859,391,1408
860,392,1253.666667
861,393,2540
862,394,2545
863,395,2540
864,396,2533
865,397,1418.5
866,398,2542
867,399,1215.666667
868,400,1129.2
869,401,988
870,402,2458
871,403,850.875
872,404,936.7142857
873,405,1087
874,406,1926.5
875,407,989.3333333
876,408,1011.75
877,409,2421
878,410,690.2
879,411,608
880,412,1356
881,413,1907
882,414,2386
883,415,1149.333333
884,416,1291
885,417,2309
886,418,1279.5
887,419,2341
888,420,1514.5
889,421,1185.5
890,422,1271
891,423,1771
892,424,932.5
893,425,870.4285714
894,426,2289
895,427,2284
896,428,897.25
897,429,720.4285714
898,430,2280
899,431,1854
900,432,2664
901,433,861
902,434,1593
903,435,1557
904,436,2744
905,437,928.6
906,438,2664
907,439,2636
908,440,2634
909,441,2616
910,442,2590
911,443,2568
912,444,2568
913,445,2574
914,446,2570
915,447,2538
916,448,2540
917,449,2533
918,450,2498
919,451,2496
920,452,1694.5
921,453,814.4
922,454,2415
923,455,566.75
924,456,2402
925,457,2398
926,458,811
927,459,1558
928,460,1072.666667
929,461,2369
930,462,2371
931,463,2377
932,464,2376
933,465,2374
934,466,2350
935,467,2317
936,468,2316
937,469,1286
938,470,1304
939,471,411.2173913
940,472,2298
941,473,829.8
942,474,2288
943,475,699.2857143
944,476,1362
945,477,980.5
946,478,2165
947,479,2153
948,480,2153
949,481,2135
950,482,2145
951,483,831.6
952,484,2138
953,485,2073
954,486,1740
955,487,1743
956,488,1728
957,489,1728
958,490,867
959,491,1257.5
960,492,1625
961,493,1590
962,494,1564
963,495,1544
964,496,1535
965,497,1528
966,498,1513
967,499,1201
968,500,1461
969,501,1458
970,502,941.6666667
971,503,699
972,504,1424
973,505,1391
974,506,1094
975,507,1344
976,508,1343
977,509,1328
978,510,1328
979,511,1005.5
980,512,1286
981,513,1283
982,514,1287
983,515,1200
984,516,1162
985,517,1091
986,518,639.5
987,519,1151
988,520,597.5
989,521,1143
990,522,625.4
991,523,469
992,524,1140
993,525,463.8571429
994,526,1072
995,527,1072
996,528,1071
997,529,983
998,530,988
999,531,635.3333333
